"External ID","Code","Description"
"l10n_eu_nace.nace_22_21","22.21","Proizvodnja ploča, listova, cijevi i profila od plastike"
"l10n_eu_nace.nace_22_22","22.22","Proizvodnja ambalaže od plastike"
"l10n_eu_nace.nace_22_23","22.23","Proizvodnja proizvoda od plastike za građevinarstvo"
"l10n_eu_nace.nace_22_29","22.29","Proizvodnja ostalih proizvoda od plastike"
"l10n_eu_nace.nace_23","23","Proizvodnja ostalih nemetalnih mineralnih proizvoda"
"l10n_eu_nace.nace_23_1","23.1","Proizvodnja stakla i proizvoda od stakla"
"l10n_eu_nace.nace_23_11","23.11","Proizvodnja ravnog stakla"
"l10n_eu_nace.nace_23_12","23.12","Oblikovanje i obrada ravnog stakla"
"l10n_eu_nace.nace_23_13","23.13","Proizvodnja šupljeg stakla"
"l10n_eu_nace.nace_23_14","23.14","Proizvodnja staklenih vlakana"
"l10n_eu_nace.nace_23_19","23.19","Proizvodnja i obrada ostalog stakla uključujući tehničku robu od stakla"
"l10n_eu_nace.nace_23_2","23.2","Proizvodnja vatrostalnih proizvoda"
"l10n_eu_nace.nace_23_20","23.20","Proizvodnja vatrostalnih proizvoda"
"l10n_eu_nace.nace_23_3","23.3","Proizvodnja proizvoda od gline za građevinarstvo"
"l10n_eu_nace.nace_23_31","23.31","Proizvodnja keramičkih pločica i ploča"
"l10n_eu_nace.nace_23_32","23.32","Proizvodnja opeke, crijepa i ostalih proizvoda od pečene gline za građevinarstvo"
"l10n_eu_nace.nace_23_4","23.4","Proizvodnja ostalih proizvoda od porculana i keramike"
"l10n_eu_nace.nace_23_41","23.41","Proizvodnja keramičkih proizvoda za kućanstvo i ukrasnih predmeta"
"l10n_eu_nace.nace_23_42","23.42","Proizvodnja sanitarne keramike "
"l10n_eu_nace.nace_23_43","23.43","Proizvodnja keramičkih izolatora i izolacijskog pribora"
"l10n_eu_nace.nace_23_44","23.44","Proizvodnja ostalih tehničkih proizvoda od keramike"
"l10n_eu_nace.nace_23_49","23.49","Proizvodnja ostalih proizvoda od keramike"
"l10n_eu_nace.nace_23_5","23.5","Proizvodnja cementa, vapna i gipsa "
"l10n_eu_nace.nace_23_51","23.51","Proizvodnja cementa"
"l10n_eu_nace.nace_23_52","23.52","Proizvodnja vapna i gipsa "
"l10n_eu_nace.nace_23_6","23.6","Proizvodnja proizvoda od betona, cementa i gipsa "
"l10n_eu_nace.nace_23_61","23.61","Proizvodnja proizvoda od betona za građevinarstvo"
"l10n_eu_nace.nace_23_62","23.62","Proizvodnja proizvoda od gipsa za građevinarstvo"
"l10n_eu_nace.nace_23_63","23.63","Proizvodnja gotove betonske smjese"
"l10n_eu_nace.nace_23_64","23.64","Proizvodnja žbuke"
"l10n_eu_nace.nace_23_65","23.65","Proizvodnja fibro-cementa"
"l10n_eu_nace.nace_23_69","23.69","Proizvodnja ostalih proizvoda od betona, cementa i gipsa "
"l10n_eu_nace.nace_23_7","23.7","Rezanje, oblikovanje i obrada kamena"
"l10n_eu_nace.nace_23_70","23.70","Rezanje, oblikovanje i obrada kamena"
"l10n_eu_nace.nace_23_9","23.9","Proizvodnja brusnih proizvoda i nemetalnih mineralnih proizvoda, d. n."
"l10n_eu_nace.nace_23_91","23.91","Proizvodnja brusnih proizvoda"
"l10n_eu_nace.nace_23_99","23.99","Proizvodnja ostalih nemetalnih mineralnih proizvoda, d. n."
"l10n_eu_nace.nace_24","24","Proizvodnja metala"
"l10n_eu_nace.nace_24_1","24.1","Proizvodnja sirovog željeza, čelika i ferolegura"
"l10n_eu_nace.nace_24_10","24.10","Proizvodnja sirovog željeza, čelika i ferolegura"
"l10n_eu_nace.nace_24_2","24.2","Proizvodnja čeličnih cijevi i pribora"
